HOOCH2CH2OO 	-22	89	41	37	38	39	43	46	51	0.0 0.0 0.0
HOOCH2CHO 	-57	77	24	28	31	33	37	39	42	0.0	0.0	0.0
HOOCH2CH(CH3)OO 	-32	96	40	42	46	50	55	59	66	0.0	0.0	0.0
HOOCH(CH3)CHO 	-67	83	30	35	40	43	48	52	57	0.0	0.0	0.0
HOOCH(CH3)CH2OO 	-32	97	42	41	45	48	54	59	65	0.0	0.0	0.0
HOOCH2C(CH3)O 	-71	84	28	34	39	43	48	52	57	0.0	0.0	0.0
HOOCH(CH3)CH(CH3)OO 	-42	106	40	48	54	60	67	72	80	0.0	0.0	0.0
HOOCH(CH3)C(CH3)O 	-79	93	35	42	48	53	60	64	71	0.0	0.0	0.0
HOOCH2CH2CH2OO 	-30	103	31	37	42	46	53	57	64	0.0	0.0	0.0
HOOCH2CH2CHO 	-63	90	29	33	36	40	45	49	55	0.0	0.0	0.0
HOOCH2CH2CH(CH3)OO 	-42	108	39	46	52	57	65	70	79	0.0	0.0	0.0
HOOCH(CH3)CH2CHO 	-73	95	35	41	47	51	58	62	70	0.0	0.0	0.0
HOOCH(CH3)CH2CH2OO 	-40	110	37	44	51	56	64	70	79	0.0	0.0	0.0
HOOCH2CH2C(CH3)O 	-77	95	35	42	47	51	58	62	70	0.0	0.0	0.0
HOOCH(CH3)CH2CH(CH3)OO 	-50	114	44	53	61	67	76	83	93	0.0	0.0	0.0
HOOCH(CH3)CH2C(CH3)O 	-87	99	41	50	57	62	70	76	85	0.0	0.0	0.0
HOOCH2C(CH3)2CH2OO 	-45	113	43	52	60	67	76	83	94	0.0	0.0	0.0
HOOCH2C(CH3)2CHO 	-78	100	42	50	56	62	70	75	84	0.0	0.0	0.0
HOO(CH2)4OO 	-34	115	38	45	51	57	65	71	80	0.0	0.0	0.0
HOO(CH2)3CHO 	-69	96	35	41	46	51	57	62	70	0.0	0.0	0.0
HOO(CH2)3CH(CH3)OO 	-45	120	45	53	61	67	77	84	94	0.0	0.0	0.0
HOOCH(CH3)(CH2)2CHO 	-78	102	42	49	56	61	69	75	85	0.0	0.0	0.0
HOOCH(CH3)(CH2)3OO 	-44	120	45	53	61	67	77	84	94	0.0	0.0	0.0
HOO(CH3)3C(CH3)O 	-82	105	40	47	54	60	68	75	84	0.0	0.0	0.0
HOOCH(CH3)(CH2)2CH(CH3)OO 	-55	124	52	62	71	78	89	97	109	0.0	0.0	0.0
HOOCH(CH3)(CH2)2C(CH3)O 	-91	111	46	56	64	70	80	88	99	0.0	0.0	0.0
HOO(CH2)5OO 	-41	124	44	52	59	66	75	82	93	0.0	0.0	0.0
HOO(CH2)4CHO 	-73	107	40	47	53	59	68	74	84	0.0	0.0	0.0
HOOCH(CH3)(CH2)4OO 	-50	127	51	61	69	77	87	95	108	0.0	0.0	0.0
HOO(CH2)4C(CH3)O 	-87	116	45	54	62	68	79	87	98	0.0	0.0	0.0
CH3OO 	2	64	12	14	16	18	21	23	26	0.0	0.0	0.0
CH3CH2OO 	-6	74	18	21	25	27	32	35	40	0.0	0.0	0.0
CH3CH2CH2OO 	-11	83	23	29	33	37	43	48	55	0.0	0.0	0.0
(CH3)2CHOO 	-16	81	24	29	34	38	43	48	55	0.0	0.0	0.0
CH3CH2CH2CH2OO 	-16	92	29	35	41	46	54	60	69	0.0	0.0	0.0
(CH3)2CHCH2OO 	-18	89	29	36	42	47	55	60	69	0.0	0.0	0.0
CH3CH2CH(CH3)OO 	-21	90	30	36	42	47	54	60	69	0.0	0.0	0.0
(CH3)3COO 	-26	86	31	37	42	47	54	60	69	0.0	0.0	0.0
CH3CH2CH2CH2CH2OO 	-21	101	35	43	50	56	65	72	83	0.0	0.0	0.0
(CH3)2CHCH2CH2OO 	-23	99	35	43	50	56	65	72	83	0.0	0.0	0.0
(CH3)3CCH2OO 	-27	93	35	43	51	57	66	73	84	0.0	0.0	0.0
CH3CH2CH2CH(CH3)OO 	-26	97	38	45	52	58	67	74	84	0.0	0.0	0.0
(CH3)2CHCH(CH3)OO 	-27	96	37	44	51	57	66	73	83	0.0	0.0	0.0
CH3CH2C(CH3)2OO 	-31	96	37	44	51	57	66	73	83	0.0	0.0	0.0
CH3CH2CH2CH2CH2CH2OO 	-27	110	42	50	58	65	77	85	98	0.0	0.0	0.0
(CH3)2CHCH2CH2CH2OO 	-28	109	40	49	58	65	76	85	97	0.0	0.0	0.0
(CH3)2CH(CH2)4OO 	-33	117	47	57	67	75	88	97	112	0.0	0.0	0.0
(CH3)2CHC(CH3)2OO 	-37	102	44	53	60	67	77	85	98	0.0	0.0	0.0
CH2OOH 	15	67	15	17	19	20	23	24	27	0.0	0.0	0.0
CH3CHOOH 	5	76	20	23	26	29	33	36	41	0.0	0.0	0.0
CH3CH2CHOOH 	0	86	25	30	34	38	44	48	55	0.0	0.0	0.0
(CH3)2CHCHOOH 	-7	93	31	38	44	48	56	61	69	0.0	0.0	0.0
(CH3)3CCHOOH 	-15	97	37	46	53	58	67	74	84	0.0	0.0	0.0
HOOCH2CH2 	11	79	20	24	27	29	33	36	40	0.0	0.0	0.0
HOOCH(CH3)CH2 	2	85	27	32	36	39	44	48	54	0.0	0.0	0.0
HOOC(CH3)2CH2 	-7	91	34	40	45	49	56	61	69	0.0	0.0	0.0
CH3CHCH2OOH 	3	90	24	29	33	37	43	47	54	0.0	0.0	0.0
CH3CHCH(CH3)OOH 	-6	96	31	37	43	47	55	60	68	0.0	0.0	0.0
CH3CHC(CH3)2OOH 	-16	102	38	45	52	58	66	73	83	0.0	0.0	0.0
(CH3)2CCH2OOH 	-7	97	29	35	41	46	54	59	68	0.0	0.0	0.0
(CH3)2CCH(CH3)OOH 	-16	102	35	43	50	56	65	72	83	0.0	0.0	0.0
(CH3)2CC(CH3)2OOH 	-25	107	42	51	60	67	77	85	97	0.0	0.0	0.0
HOOCH2CH2CH2 	5	88	25	30	34	38	44	48	54	0.0	0.0	0.0
HOOCH2CH(CH3)CH2 	-2	94	32	38	44	48	55	61	69	0.0	0.0	0.0
HOOCH2C(CH3)2CH2 	-9	100	37	45	53	58	67	74	83	0.0	0.0	0.0
HOOCH(CH3)CH2CH2 	-4	94	32	38	44	49	56	61	69	0.0	0.0	0.0
HOOCH(CH3)2CH2CH2 	-14	100	38	46	53	59	67	74	83	0.0	0.0	0.0
CH3CH(CH2)2OOH 	-3	98	29	36	42	46	54	60	68	0.0	0.0	0.0
CH3CHCH2CH(CH3)OOH 	-12	104	36	44	51	57	66	73	83	0.0	0.0	0.0
HOOCH2CH2CH2CH2 	0	97	30	37	42	47	55	60	69	0.0	0.0	0.0
CH3CH(CH2)3OOH 	-8	107	34	42	50	56	65	72	83	0.0	0.0	0.0
(CH3)2C(CH2)2OOH 	-11	105	35	43	50	56	65	72	83	0.0	0.0	0.0
(CH3)2C(CH2)3OOH 	-17	115	39	48	57	64	75	84	97	0.0	0.0	0.0
